,Average Rank,Film,Year
0,1,The Godfather,1972
1,2,Citizen Kane,1941
2,3,Casablanca,1942
3,4,"The Godfather, Part II",1974
4,5,Singin' in the Rain,1952
5,6,Psycho,1960
6,7,Rear Window,1954
7,8,Apocalypse Now,1979
8,9,2001: A Space Odyssey,1968
9,10,Seven Samurai,1954
10,11,Vertigo,1958
11,12,Sunset Blvd,1950
12,13,Modern Times,1936
13,14,Lawrence of Arabia,1962
14,15,North by Northwest,1959
15,16,Star Wars,1977
16,17,Parasite,2019
17,18,Schindler's List,1993
18,19,Lord of the Rings: The Fellowship of the Ring,2001
19,20,Shawshank Redemption,1994
20,21,It's a Wonderful Life,1946
21,22,Pulp Fiction,1994
22,23,Avengers: Endgame,2019
23,24,City Lights,1931
24,25,One Flew Over the Cuckoo's Nest,1975
25,26,Goodfellas,1990
26,27,Raiders of the Lost Ark,1981
27,28,12 Angry Men,1957
28,29,The Silence of the Lambs,1991
29,30,Taxi Driver,1976
30,31,Saving Private Ryan,1998
31,32,E.T. the Extra Terrestrial,1982
32,33,Alien,1979
33,34,Spider-Man: Into the Spider-verse,2018
34,35,Blade Runner,1982
35,36,Double Indemnity,1944
36,37,The Dark Knight,2008
37,38,The Wizard of Oz,1939
38,39,Star Wars: Episode V- The Empire Strikes Back,1980
39,40,The Searchers,1956
40,41,Mad Max: Fury Road,2015
41,42,Inception,2010
42,43,Lord of the Rings: Return of the King,2003
43,44,The Matrix,1999
44,45,Fight Club,1999
45,46,Back to the Future,1985
46,47,It Happened One Night,1934
47,48,"The Good, the Bad, and the Ugly",1966
48,49,Lord of the Rings: The Two Towers,2002
49,50,All About Eve,1950
