,Country,GDP_USD_billions
0,United States,26854.6
1,China,19373.59
2,Japan,4409.74
3,Germany,4308.85
4,India,3736.88
5,United Kingdom,3158.94
6,France,2923.49
7,Italy,2169.74
8,Canada,2089.67
9,Brazil,2081.24
10,Russia,2062.65
11,South Korea,1721.91
12,Australia,1707.55
13,Mexico,1663.16
14,Spain,1492.43
15,Indonesia,1391.78
16,Netherlands,1080.88
17,Saudi Arabia,1061.9
18,Turkey,1029.3
19,Switzerland,869.6
20,Taiwan,790.73
21,Poland,748.89
22,Argentina,641.1
23,Belgium,624.25
24,Sweden,599.05
25,Ireland,594.1
26,Thailand,574.23
27,Norway,554.1
28,Israel,539.22
29,Singapore,515.55
30,Austria,515.2
31,Nigeria,506.6
32,United Arab Emirates,498.98
33,Vietnam,449.09
34,Malaysia,447.03
35,Philippines,440.9
36,Bangladesh,420.52
37,Denmark,405.63
38,South Africa,399.02
39,Hong Kong,382.85
40,Egypt,378.11
41,Iran,367.97
42,Chile,358.56
43,Romania,348.9
44,Colombia,334.69
45,Czech Republic,330.48
46,Finland,301.67
47,Peru,268.24
48,Iraq,267.89
49,Portugal,267.72
50,New Zealand,251.97
51,Kazakhstan,245.7
52,Greece,239.3
53,Qatar,219.57
54,Algeria,206.01
55,Hungary,188.5
56,Kuwait,164.71
57,Ethiopia,156.08
58,Ukraine,148.71
59,Morocco,138.78
60,Slovakia,127.53
61,Ecuador,121.29
62,Dominican Republic,121.29
63,Puerto Rico,120.84
64,Kenya,118.13
65,Angola,117.88
66,Oman,104.9
67,Guatemala,102.31
68,Bulgaria,100.64
69,Venezuela,96.63
70,Uzbekistan,92.33
71,Luxembourg,86.97
72,Tanzania,85.42
73,Turkmenistan,82.65
74,Croatia,78.88
75,Lithuania,78.35
76,Costa Rica,77.78
77,Uruguay,77.31
78,Panama,77.26
79,Ivory Coast,77.05
80,Serbia,73.96
81,Belarus,73.54
82,Azerbaijan,70.03
83,DR Congo,69.47
84,Slovenia,68.11
85,Ghana,66.62
86,Myanmar,63.99
87,Jordan,52.06
88,Tunisia,49.82
89,Uganda,49.79
90,Cameroon,48.62
91,Latvia,47.4
92,Sudan,46.7
93,Libya,46.3
94,Bolivia,46.1
95,Bahrain,44.87
96,Paraguay,42.82
97,Nepal,42.1
98,Estonia,41.55
99,Macau,35.84
100,El Salvador,33.75
101,Honduras,32.86
102,Papua New Guinea,31.36
103,Senegal,31.22
104,Cyprus,30.86
105,Cambodia,30.63
106,Zimbabwe,29.93
107,Zambia,29.27
108,Iceland,28.62
109,Bosnia and Herzegovina,28.49
110,Trinidad and Tobago,28.22
111,Georgia,27.95
112,Haiti,26.58
113,Armenia,23.72
114,Guinea,23.33
115,Burkina Faso,21.08
116,Mali,20.78
117,Gabon,20.33
118,Albania,20.18
119,Mozambique,19.91
120,Palestine,19.21
121,Botswana,19.57
122,Yemen,19.53
123,Malta,19.4
124,Benin,19.24
125,Nicaragua,17.29
126,Jamaica,17.25
127,Mongolia,16.91
128,Niger,16.62
129,Guyana,16.31
130,Brunei,15.99
131,Madagascar,15.97
132,Moldova,15.83
133,North Macedonia,15.28
134,Equatorial Guinea,15.1
135,Mauritius,14.57
136,Bahamas,14.11
137,Laos,14.09
138,Namibia,13.49
139,Rwanda,13.15
140,Congo,13.03
141,Tajikistan,12.8
142,Kyrgyzstan,12.31
143,Chad,11.96
144,Malawi,11.28
145,Mauritania,10.97
146,Kosovo,9.99
147,Togo,9.0
148,Somalia,8.74
149,Montenegro,7.03
150,South Sudan,7.01
151,Maldives,7.0
152,Barbados,6.12
153,Fiji,5.38
154,Eswatini,4.82
155,Liberia,4.38
156,Djibouti,3.92
157,Andorra,3.67
158,Aruba,3.63
159,Sierra Leone,3.52
160,Suriname,3.47
161,Burundi,3.23
162,Belize,3.16
163,Central African Republic,2.74
164,Bhutan,2.68
165,Eritrea,2.67
166,Lesotho,2.58
167,Cape Verde,2.47
168,Gambia,2.28
169,Saint Lucia,2.26
170,East Timor,1.99
171,Seychelles,1.95
172,Guinea-Bissau,1.89
173,Antigua and Barbuda,1.86
174,San Marino,1.81
175,Solomon Islands,1.7
176,Comoros,1.35
177,Grenada,1.27
178,Vanuatu,1.06
179,Saint Kitts and Nevis,1.05
180,Saint Vincent and the Grenadines,1.04
181,Samoa,0.9
182,Dominica,0.68
183,São Tomé and Príncipe,0.62
184,Tonga,0.54
185,Micronesia,0.46
186,Marshall Islands,0.29
187,Palau,0.26
188,Kiribati,0.25
189,Nauru,0.15
190,Tuvalu,0.06
